category,adjusted_probability,robust_se_probability,ci_low_95,ci_high_95,adjusted_percentage,ci_low_95_percentage,ci_high_95_percentage
Below median,0.47276914953817367,0.012586643867515932,0.4480997808716105,0.49743851820473683,47.27691495381737,44.80997808716105,49.74385182047369
Around median,0.46933034559391906,0.016678532675954004,0.43664102223407475,0.5020196689537634,46.933034559391906,43.664102223407475,50.20196689537634
Above median,0.4627213234951247,0.010322925912541157,0.44248876049146874,0.4829538864987806,46.27213234951247,44.24887604914687,48.29538864987806
