Reason,Bergen,Gothenburg,Saint Quentin,Sint Niklaas,Antwerpen,Hamburg,Overall
To reduce consumption and or support the environment,81.81818181818181,62.0,100.0,41.666666666666664,66.66666666666667,33.333333333333336,67.71653543307086
To save money,77.27272727272727,54.0,50.0,58.333333333333336,66.66666666666667,16.666666666666668,61.41732283464567
To have more goods available,54.54545454545455,40.0,50.0,16.666666666666668,22.22222222222222,50.0,42.51968503937008
To play sports or relax,38.63636363636363,32.0,0.0,41.666666666666664,0.0,0.0,29.921259842519685
To learn new things,38.63636363636363,14.0,0.0,33.333333333333336,44.44444444444444,66.66666666666667,28.346456692913385
To support local cooperation and community building,29.545454545454547,18.0,66.66666666666667,16.666666666666668,44.44444444444444,16.666666666666668,25.984251968503937
To create opportunities for myself,38.63636363636363,20.0,0.0,8.333333333333334,11.11111111111111,33.333333333333336,24.409448818897637
To support equal access to goods for everyone,25.0,16.0,33.333333333333336,16.666666666666668,22.22222222222222,33.333333333333336,21.25984251968504
To meet people,4.545454545454546,12.0,16.666666666666668,16.666666666666668,0.0,0.0,8.661417322834646
