category,adjusted_probability,robust_se_probability,ci_low_95,ci_high_95,adjusted_percentage,ci_low_95_percentage,ci_high_95_percentage
Below median,0.3331712020674919,0.007418507393680038,0.31863119475683493,0.34771120937814887,33.31712020674919,31.863119475683494,34.771120937814885
Around median,0.3637621997471309,0.011058191927135284,0.34208854183581416,0.3854358576584477,36.376219974713095,34.208854183581415,38.54358576584477
Above median,0.40803701028717393,0.007050361639118669,0.39421855539651857,0.4218554651778293,40.80370102871739,39.42185553965186,42.18554651778293
